"","migration_per_gen","fitnessAa","number_of_generations","min_size","min_gen","final_pop_size","p_final","success"
"4974",4,0.9,153,4,153,4,1,"extinction"
"4975",4,0.9,1020,8,1020,8,1,"extinction"
"4976",4,0.9,1097,7,1097,7,1,"extinction"
"4977",4,0.9,782,7,782,7,1,"extinction"
"4978",4,0.9,1999,6,1999,6,1,"extinction"
"4979",4,0.9,1102,8,1102,8,1,"extinction"
"4980",4,0.9,558,8,558,8,1,"extinction"
"4981",4,0.9,1253,8,1253,8,1,"extinction"
"4982",4,0.9,848,6,848,6,1,"extinction"
"4983",4,0.9,3562,8,3562,8,1,"extinction"
"4984",4,0.9,2836,8,2836,8,1,"extinction"
"4985",4,0.9,2117,8,2117,8,1,"extinction"
"4986",4,0.9,1444,7,1444,7,1,"extinction"
"4987",4,0.9,2247,8,2247,8,1,"extinction"
"4988",4,0.9,596,6,596,6,1,"extinction"
"4989",4,0.9,477,7,477,7,1,"extinction"
"4990",4,0.9,3229,6,3229,6,1,"extinction"
"4991",4,0.9,1377,8,1377,8,1,"extinction"
"4992",4,0.9,1194,8,1194,8,1,"extinction"
"4993",4,0.9,506,7,506,7,1,"extinction"
"4994",4,0.9,1345,8,1345,8,1,"extinction"
"4995",4,0.9,415,8,415,8,1,"extinction"
"4996",4,0.9,2084,7,2084,7,1,"extinction"
"4997",4,0.9,204,7,204,7,1,"extinction"
"4998",4,0.9,774,8,774,8,1,"extinction"
"4999",4,0.9,1441,8,1441,8,1,"extinction"
"5000",4,0.9,978,8,978,8,1,"extinction"
"5001",5,0.9,4743,10,4743,10,1,"extinction"
"5002",5,0.9,837,8,837,8,1,"extinction"
"5003",5,0.9,4421,10,4421,10,1,"extinction"
"5004",5,0.9,397,7,397,7,1,"extinction"
"5005",5,0.9,1750,8,1750,8,1,"extinction"
"5006",5,0.9,3847,10,3847,10,1,"extinction"
"5007",5,0.9,6662,10,6662,10,1,"extinction"
"5008",5,0.9,423,10,423,10,1,"extinction"
"5009",5,0.9,1349,10,1349,10,1,"extinction"
"5010",5,0.9,1517,10,1517,10,1,"extinction"
"5011",5,0.9,5241,10,5241,10,1,"extinction"
"5012",5,0.9,10001,11,2648,26,1,"medium"
"5013",5,0.9,8385,10,8385,10,1,"extinction"
"5014",5,0.9,2235,9,2235,9,1,"extinction"
"5015",5,0.9,3262,10,3262,10,1,"extinction"
"5016",5,0.9,10001,11,1939,68,0.948529411764706,"medium"
"5017",5,0.9,8338,10,8338,10,1,"extinction"
"5018",5,0.9,10001,12,2569,47,1,"medium"
"5019",5,0.9,1077,8,1077,8,1,"extinction"
"5020",5,0.9,2615,6,2615,6,1,"extinction"
