"","migration","generation_with_min_pop_size","min_pop_size","simulated_gen","maximal_pop_size","success"
"5736",5,1002,6,1002,1000,"medium"
"5737",5,1002,6,1002,1000,"medium"
"5738",5,749,9,749,5009,"reached_max"
"5739",5,1002,6,1002,1000,"medium"
"5740",5,1002,6,1002,1000,"medium"
"5741",5,1002,6,1002,1000,"medium"
"5742",5,1002,6,1002,1000,"medium"
"5743",5,1002,6,1002,1000,"medium"
"5744",5,1002,6,1002,1000,"medium"
"5745",5,1002,6,1002,1000,"medium"
"5746",5,343,9,343,5135,"reached_max"
"5747",5,279,9,279,5110,"reached_max"
"5748",5,1002,6,1002,1000,"medium"
"5749",5,1002,6,1002,1000,"medium"
"5750",5,810,9,810,5060,"reached_max"
"5751",5,191,9,191,5511,"reached_max"
"5752",5,1002,6,1002,1000,"medium"
"5753",5,1002,6,1002,1000,"medium"
"5754",5,1002,6,1002,1000,"medium"
"5755",5,162,9,162,5203,"reached_max"
"5756",5,1002,6,1002,1000,"medium"
"5757",5,204,9,204,5371,"reached_max"
"5758",5,946,9,946,5400,"reached_max"
"5759",5,903,9,903,5147,"reached_max"
"5760",5,1002,6,1002,3215,"medium"
"5761",5,850,3,850,1000,"extinction"
"5762",5,142,9,142,5107,"reached_max"
"5763",5,1002,6,1002,1000,"medium"
"5764",5,847,9,847,5293,"reached_max"
"5765",5,967,9,967,5138,"reached_max"
"5766",5,1002,6,1002,1000,"medium"
"5767",5,1002,6,1002,1000,"medium"
"5768",5,1002,6,1002,1000,"medium"
"5769",5,1002,6,1002,1000,"medium"
"5770",5,211,3,211,1000,"extinction"
"5771",5,1002,6,1002,1000,"medium"
"5772",5,1002,6,1002,1000,"medium"
"5773",5,149,9,149,5270,"reached_max"
"5774",5,1002,6,1002,1000,"medium"
"5775",5,815,9,815,5175,"reached_max"
"5776",5,1002,6,1002,1000,"medium"
"5777",5,1002,6,1002,1000,"medium"
"5778",5,1002,6,1002,1000,"medium"
"5779",5,1002,6,1002,1000,"medium"
"5780",5,1002,6,1002,1000,"medium"
"5781",5,1002,6,1002,1000,"medium"
"5782",5,1002,6,1002,1000,"medium"
"5783",5,123,9,123,5042,"reached_max"
"5784",5,1002,6,1002,1000,"medium"
"5785",5,1002,6,1002,1000,"medium"
"5786",5,1002,6,1002,1000,"medium"
"5787",5,1002,6,1002,1000,"medium"
"5788",5,1002,6,1002,1000,"medium"
"5789",5,1002,6,1002,1000,"medium"
"5790",5,1002,6,1002,1000,"medium"
"5791",5,1002,6,1002,1000,"medium"
"5792",5,127,9,127,5308,"reached_max"
"5793",5,122,9,122,5258,"reached_max"
"5794",5,211,3,211,1000,"extinction"
"5795",5,1002,6,1002,1000,"medium"
"5796",5,1002,6,1002,1000,"medium"
"5797",5,157,9,157,5057,"reached_max"
"5798",5,1002,6,1002,1000,"medium"
"5799",5,1002,6,1002,1000,"medium"
"5800",5,1002,6,1002,1000,"medium"
"5801",5,1002,6,1002,1000,"medium"
"5802",5,115,9,115,5239,"reached_max"
"5803",5,1002,6,1002,1000,"medium"
"5804",5,1002,6,1002,1000,"medium"
"5805",5,1002,6,1002,1000,"medium"
"5806",5,1002,6,1002,1000,"medium"
"5807",5,256,3,256,1000,"extinction"
"5808",5,1002,6,1002,1000,"medium"
"5809",5,1002,6,1002,1000,"medium"
"5810",5,419,9,419,5264,"reached_max"
"5811",5,1002,6,1002,1000,"medium"
"5812",5,1002,6,1002,1000,"medium"
"5813",5,1002,6,1002,1000,"medium"
"5814",5,1002,6,1002,1000,"medium"
"5815",5,194,9,194,5067,"reached_max"
"5816",5,154,9,154,5057,"reached_max"
"5817",5,974,9,974,5381,"reached_max"
"5818",5,1002,6,1002,1000,"medium"
"5819",5,919,9,919,5038,"reached_max"
"5820",5,570,3,570,1000,"extinction"
"5821",5,513,9,513,5142,"reached_max"
"5822",5,176,9,176,5114,"reached_max"
"5823",5,1002,6,1002,1000,"medium"
"5824",5,1002,6,1002,1000,"medium"
"5825",5,1002,6,1002,1000,"medium"
"5826",5,1002,6,1002,1000,"medium"
"5827",5,1002,6,1002,1000,"medium"
"5828",5,1002,6,1002,1000,"medium"
"5829",5,1002,6,1002,1000,"medium"
"5830",5,1002,6,1002,1000,"medium"
"5831",5,135,9,135,5289,"reached_max"
"5832",5,724,3,724,1000,"extinction"
"5833",5,1002,6,1002,1000,"medium"
"5834",5,110,9,110,5061,"reached_max"
