"","migration","generation_with_min_pop_size","min_pop_size","simulated_gen","maximal_pop_size","success"
"3642",3,66,18,192,5204,"reached_max"
"3643",3,83,6,83,1000,"extinction"
"3644",3,209,7,575,5233,"reached_max"
"3645",3,154,6,154,1000,"extinction"
"3646",3,495,5,495,1000,"extinction"
"3647",3,1292,8,1401,5086,"reached_max"
"3648",3,207,5,207,1000,"extinction"
"3649",3,302,5,302,1000,"extinction"
"3650",3,598,6,598,1000,"extinction"
"3651",3,49,5,49,1000,"extinction"
"3652",3,77,5,77,1000,"extinction"
"3653",3,669,6,669,1000,"extinction"
"3654",3,100,6,100,1000,"extinction"
"3655",3,100,6,100,1000,"extinction"
"3656",3,585,5,585,1000,"extinction"
"3657",3,529,5,529,1000,"extinction"
"3658",3,267,6,267,1000,"extinction"
"3659",3,179,9,524,5067,"reached_max"
"3660",3,30,91,109,5312,"reached_max"
"3661",3,840,6,840,1000,"extinction"
"3662",3,32,101,96,5344,"reached_max"
"3663",3,84,21,199,5155,"reached_max"
"3664",3,245,4,245,1000,"extinction"
"3665",3,190,3,190,1000,"extinction"
"3666",3,163,9,289,5103,"reached_max"
"3667",3,707,8,929,5234,"reached_max"
"3668",3,550,4,550,1000,"extinction"
"3669",3,117,4,117,1000,"extinction"
"3670",3,95,4,95,1000,"extinction"
"3671",3,435,4,435,1000,"extinction"
"3672",3,86,6,86,1000,"extinction"
"3673",3,89,14,394,5029,"reached_max"
"3674",3,77,15,223,5142,"reached_max"
"3675",3,610,6,610,1000,"extinction"
"3676",3,330,5,330,1000,"extinction"
"3677",3,33,79,117,5184,"reached_max"
"3678",3,851,3,851,1000,"extinction"
"3679",3,155,7,274,5146,"reached_max"
"3680",3,98,4,98,1000,"extinction"
"3681",3,696,6,696,1000,"extinction"
"3682",3,269,7,542,5308,"reached_max"
"3683",3,34,60,148,5018,"reached_max"
"3684",3,45,32,140,5010,"reached_max"
"3685",3,197,9,603,5095,"reached_max"
"3686",3,642,8,1092,5114,"reached_max"
"3687",3,48,18,157,5210,"reached_max"
"3688",3,172,5,172,1000,"extinction"
"3689",3,1229,4,1229,1000,"extinction"
"3690",3,582,4,582,1000,"extinction"
"3691",3,1398,4,1398,1000,"extinction"
"3692",3,716,6,716,1000,"extinction"
"3693",3,29,118,99,5242,"reached_max"
"3694",3,444,5,444,1000,"extinction"
"3695",3,1257,5,1257,1000,"extinction"
"3696",3,163,7,465,5077,"reached_max"
"3697",3,370,6,370,1000,"extinction"
"3698",3,44,178,98,5038,"reached_max"
"3699",3,40,63,176,5448,"reached_max"
"3700",3,139,8,785,5176,"reached_max"
"3701",3,148,6,148,1000,"extinction"
"3702",3,894,6,894,1000,"extinction"
"3703",3,41,30,163,5294,"reached_max"
"3704",3,603,6,603,1000,"extinction"
"3705",3,37,42,122,5038,"reached_max"
"3706",3,215,6,215,1000,"extinction"
"3707",3,1550,3,1550,1000,"extinction"
"3708",3,84,5,84,1000,"extinction"
"3709",3,86,5,86,1000,"extinction"
"3710",3,247,6,247,1000,"extinction"
"3711",3,46,46,158,5243,"reached_max"
"3712",3,142,6,142,1000,"extinction"
"3713",3,92,8,303,5037,"reached_max"
"3714",3,377,6,377,1000,"extinction"
"3715",3,820,6,820,1000,"extinction"
"3716",3,73,27,145,5002,"reached_max"
"3717",3,712,6,712,1000,"extinction"
"3718",3,301,5,301,1000,"extinction"
"3719",3,193,11,398,5283,"reached_max"
"3720",3,75,9,530,5035,"reached_max"
"3721",3,65,31,156,5030,"reached_max"
"3722",3,2315,6,2315,1000,"extinction"
"3723",3,75,40,173,5081,"reached_max"
"3724",3,486,6,486,1000,"extinction"
"3725",3,276,10,574,5106,"reached_max"
"3726",3,47,21,206,5019,"reached_max"
"3727",3,51,104,113,5318,"reached_max"
"3728",3,35,107,112,5223,"reached_max"
"3729",3,164,5,164,1000,"extinction"
"3730",3,1012,5,1012,1000,"extinction"
"3731",3,100,6,100,1000,"extinction"
"3732",3,514,7,1474,5032,"reached_max"
"3733",3,469,10,676,5165,"reached_max"
"3734",3,266,8,487,5396,"reached_max"
"3735",3,58,36,162,5407,"reached_max"
"3736",3,314,6,314,1000,"extinction"
"3737",3,669,6,669,1000,"extinction"
"3738",3,451,3,451,1000,"extinction"
"3739",3,436,6,436,1000,"extinction"
"3740",3,154,8,919,5166,"reached_max"
"3741",3,1058,6,1058,1000,"extinction"
"3742",3,508,5,508,1000,"extinction"
"3743",3,38,20,187,5233,"reached_max"
"3744",3,921,4,921,1000,"extinction"
"3745",3,403,4,403,1000,"extinction"
"3746",3,38,55,147,5228,"reached_max"
"3747",3,384,5,384,1000,"extinction"
"3748",3,703,4,703,1000,"extinction"
"3749",3,68,48,172,5099,"reached_max"
"3750",3,419,6,419,1000,"extinction"
"3751",3,658,5,658,1000,"extinction"
"3752",3,981,5,981,1000,"extinction"
"3753",3,197,6,197,1000,"extinction"
"3754",3,83,5,83,1000,"extinction"
"3755",3,174,5,174,1000,"extinction"
"3756",3,50,55,128,5155,"reached_max"
"3757",3,195,6,195,1000,"extinction"
"3758",3,827,4,827,1000,"extinction"
"3759",3,85,6,85,1000,"extinction"
"3760",3,639,5,639,1000,"extinction"
"3761",3,863,6,863,1000,"extinction"
"3762",3,51,31,190,5276,"reached_max"
"3763",3,770,5,770,1000,"extinction"
"3764",3,933,5,933,1000,"extinction"
"3765",3,43,133,109,5083,"reached_max"
"3766",3,450,6,450,1000,"extinction"
"3767",3,145,3,145,1000,"extinction"
"3768",3,67,7,420,5409,"reached_max"
"3769",3,1902,3,1902,1000,"extinction"
"3770",3,40,127,110,5265,"reached_max"
"3771",3,375,7,483,5206,"reached_max"
"3772",3,230,6,230,1000,"extinction"
"3773",3,145,10,277,5297,"reached_max"
"3774",3,41,83,110,5202,"reached_max"
"3775",3,773,6,773,1000,"extinction"
"3776",3,368,6,368,1000,"extinction"
"3777",3,1005,5,1005,1000,"extinction"
"3778",3,57,46,148,5411,"reached_max"
"3779",3,108,5,108,1000,"extinction"
"3780",3,183,6,183,1000,"extinction"
"3781",3,118,7,594,5045,"reached_max"
"3782",3,50,52,117,5215,"reached_max"
"3783",3,217,6,217,1000,"extinction"
"3784",3,150,6,150,1000,"extinction"
"3785",3,49,88,117,5114,"reached_max"
"3786",3,133,6,133,1000,"extinction"
"3787",3,62,110,127,5095,"reached_max"
"3788",3,146,6,146,1000,"extinction"
"3789",3,41,53,120,5119,"reached_max"
"3790",3,37,27,172,5035,"reached_max"
"3791",3,33,68,148,5111,"reached_max"
"3792",3,70,5,70,1000,"extinction"
"3793",3,109,4,109,1000,"extinction"
"3794",3,93,18,239,5143,"reached_max"
"3795",3,242,6,242,1000,"extinction"
"3796",3,500,8,873,5239,"reached_max"
"3797",3,89,12,303,5235,"reached_max"
