"migration_per_gen","fitnessAa","number_of_generations","min_size","min_gen","final_pop_size","p_final","success"
3,0.9,784,6,784,6,1,1
3,0.9,713,6,713,6,1,1
3,0.9,712,3,712,3,1,1
3,0.9,691,6,691,6,1,1
3,0.9,661,5,661,5,1,1
3,0.9,230,6,230,6,1,1
3,0.9,472,5,472,5,1,1
3,0.9,1484,4,1484,4,1,1
3,0.9,321,6,321,6,1,1
3,0.9,398,5,398,5,1,1
3,0.9,89,6,89,6,1,1
3,0.9,632,5,632,5,1,1
3,0.9,745,6,745,6,1,1
3,0.9,279,6,279,6,1,1
3,0.9,96,5,96,5,1,1
3,0.9,364,6,364,6,1,1
3,0.9,55,5,55,5,1,1
3,0.9,375,6,375,6,1,1
3,0.9,199,6,199,6,1,1
3,0.9,1147,5,1147,5,1,1
3,0.9,89,6,89,6,1,1
3,0.9,147,5,147,5,1,1
3,0.9,389,5,389,5,1,1
3,0.9,584,6,584,6,1,1
3,0.9,1289,3,1289,3,1,1
3,0.9,565,5,565,5,1,1
3,0.9,222,5,222,5,1,1
3,0.9,574,6,574,6,1,1
3,0.9,147,6,147,6,1,1
3,0.9,749,4,749,4,1,1
3,0.9,535,6,535,6,1,1
3,0.9,1871,5,1871,5,1,1
3,0.9,564,4,564,4,1,1
3,0.9,290,6,290,6,1,1
3,0.9,519,6,519,6,1,1
3,0.9,274,6,274,6,1,1
3,0.9,553,6,553,6,1,1
3,0.9,49,6,49,6,1,1
3,0.9,141,6,141,6,1,1
3,0.9,177,6,177,6,1,1
3,0.9,423,6,423,6,1,1
3,0.9,1375,4,1375,4,1,1
3,0.9,566,6,566,6,1,1
3,0.9,1790,5,1790,5,1,1
3,0.9,91,5,91,5,1,1
3,0.9,423,4,423,4,1,1
3,0.9,187,5,187,5,0.9,1
3,0.9,248,6,248,6,1,1
3,0.9,187,6,187,6,1,1
3,0.9,373,5,373,5,1,1
3,0.9,97,6,97,6,1,1
3,0.9,65,6,65,6,1,1
3,0.9,312,5,312,5,1,1
3,0.9,618,6,618,6,1,1
3,0.9,543,3,543,3,1,1
3,0.9,805,5,805,5,1,1
3,0.9,164,6,164,6,1,1
3,0.9,1010,4,1010,4,1,1
3,0.9,2035,7,407,1594,0.0153701380175659,3
3,0.9,508,5,508,5,1,1
3,0.9,550,5,550,5,1,1
3,0.9,381,6,381,6,1,1
3,0.9,2212,4,2212,4,1,1
3,0.9,1028,6,1028,6,1,1
3,0.9,754,6,754,6,1,1
3,0.9,288,2,288,2,1,1
3,0.9,1716,6,1716,6,1,1
3,0.9,474,4,474,4,1,1
3,0.9,422,6,422,6,1,1
3,0.9,247,4,247,4,1,1
3,0.9,255,6,255,6,1,1
3,0.9,551,4,551,4,1,1
3,0.9,191,6,191,6,1,1
3,0.9,271,6,271,6,1,1
3,0.9,523,4,523,4,1,1
3,0.9,150,5,150,5,1,1
3,0.9,192,4,192,4,1,1
3,0.9,734,6,734,6,1,1
3,0.9,55,6,55,6,1,1
3,0.9,447,4,447,4,1,1
3,0.9,493,6,493,6,1,1
3,0.9,347,5,347,5,1,1
3,0.9,247,5,247,5,1,1
3,0.9,515,6,515,6,0.833333333333333,1
3,0.9,50,6,50,6,1,1
3,0.9,615,4,615,4,1,1
3,0.9,387,5,387,5,1,1
3,0.9,685,4,685,4,1,1
3,0.9,424,5,424,5,1,1
3,0.9,278,5,278,5,1,1
3,0.9,51,6,51,6,1,1
3,0.9,1054,4,1054,4,1,1
3,0.9,68,5,68,5,1,1
3,0.9,315,6,315,6,1,1
3,0.9,512,5,512,5,1,1
3,0.9,121,6,121,6,1,1
3,0.9,358,5,358,5,1,1
3,0.9,315,4,315,4,1,1
3,0.9,714,6,714,6,1,1
3,0.9,109,4,109,4,1,1
3,0.9,379,5,379,5,1,1
3,0.9,71,6,71,6,1,1
3,0.9,110,5,110,5,1,1
3,0.9,325,5,325,5,1,1
3,0.9,377,6,377,6,1,1
3,0.9,1467,6,1467,6,1,1
3,0.9,528,6,528,6,1,1
3,0.9,352,6,352,6,1,1
3,0.9,329,6,329,6,1,1
3,0.9,80,2,80,2,1,1
3,0.9,565,5,565,5,1,1
3,0.9,197,5,197,5,1,1
3,0.9,252,6,252,6,1,1
3,0.9,350,6,350,6,1,1
3,0.9,63,5,63,5,1,1
3,0.9,514,4,514,4,1,1
3,0.9,118,5,118,5,1,1
3,0.9,395,6,395,6,1,1
3,0.9,1567,2,1567,2,1,1
3,0.9,62,6,62,6,1,1
3,0.9,296,5,296,5,1,1
3,0.9,246,6,246,6,1,1
3,0.9,242,5,242,5,1,1
3,0.9,269,4,269,4,1,1
3,0.9,414,4,414,4,1,1
3,0.9,188,5,188,5,1,1
3,0.9,401,6,401,6,1,1
3,0.9,378,5,378,5,1,1
3,0.9,243,5,243,5,1,1
3,0.9,197,4,197,4,1,1
3,0.9,204,5,204,5,1,1
3,0.9,771,5,771,5,1,1
3,0.9,189,6,189,6,1,1
3,0.9,978,5,978,5,1,1
3,0.9,415,6,415,6,1,1
3,0.9,190,6,190,6,1,1
3,0.9,399,6,399,6,1,1
3,0.9,290,6,290,6,1,1
3,0.9,395,3,395,3,1,1
3,0.9,231,5,231,5,1,1
3,0.9,912,5,912,5,1,1
3,0.9,57,6,57,6,1,1
3,0.9,525,6,525,6,1,1
3,0.9,471,5,471,5,1,1
3,0.9,494,3,494,3,1,1
3,0.9,230,6,230,6,1,1
3,0.9,97,6,97,6,1,1
3,0.9,259,2,259,2,1,1
3,0.9,60,5,60,5,1,1
3,0.9,73,6,73,6,1,1
3,0.9,547,4,547,4,1,1
3,0.9,242,3,242,3,1,1
3,0.9,463,6,463,6,1,1
3,0.9,123,3,123,3,1,1
3,0.9,336,4,336,4,1,1
3,0.9,616,6,616,6,1,1
3,0.9,229,6,229,6,1,1
3,0.9,124,5,124,5,1,1
3,0.9,60,6,60,6,1,1
3,0.9,1545,5,1545,5,1,1
3,0.9,599,6,599,6,1,1
3,0.9,526,6,526,6,1,1
3,0.9,1038,4,1038,4,1,1
3,0.9,789,6,789,6,1,1
3,0.9,158,6,158,6,1,1
3,0.9,537,6,537,6,1,1
3,0.9,155,6,155,6,1,1
3,0.9,272,3,272,3,1,1
3,0.9,1619,4,1619,4,1,1
3,0.9,294,6,294,6,1,1
3,0.9,216,6,216,6,1,1
3,0.9,197,3,197,3,1,1
3,0.9,145,5,145,5,1,1
3,0.9,238,6,238,6,1,1
3,0.9,586,5,586,5,1,1
3,0.9,141,6,141,6,1,1
3,0.9,182,6,182,6,1,1
3,0.9,619,6,619,6,1,1
3,0.9,271,6,271,6,1,1
3,0.9,270,6,270,6,1,1
3,0.9,219,6,219,6,1,1
3,0.9,141,6,141,6,1,1
3,0.9,673,5,673,5,1,1
3,0.9,315,6,315,6,1,1
3,0.9,592,6,592,6,1,1
3,0.9,114,5,114,5,1,1
3,0.9,252,6,252,6,1,1
3,0.9,118,6,118,6,1,1
3,0.9,157,5,157,5,1,1
3,0.9,608,6,608,6,1,1
3,0.9,66,5,66,5,1,1
3,0.9,796,3,796,3,1,1
3,0.9,653,6,653,6,1,1
3,0.9,1581,4,1581,4,1,1
3,0.9,341,6,341,6,1,1
3,0.9,471,6,471,6,1,1
3,0.9,707,5,707,5,1,1
3,0.9,1451,5,1451,5,1,1
3,0.9,56,4,56,4,1,1
3,0.9,938,6,938,6,1,1
3,0.9,110,6,110,6,0.916666666666667,1
3,0.9,289,6,289,6,0.916666666666667,1
3,0.9,424,6,424,6,1,1
3,0.9,391,5,391,5,1,1
3,0.9,1106,6,1106,6,1,1
3,0.9,381,6,381,6,1,1
3,0.9,166,6,166,6,1,1
3,0.9,329,6,329,6,1,1
3,0.9,52,5,52,5,1,1
3,0.9,97,6,97,6,1,1
